seed,timestamp,model_name,dataset_path,learning_rate,weight_decay,batch_size,num_train_epochs,gradient_accumulation_steps,eval_steps,save_steps,best_metric,best_model_checkpoint,global_step,split,eval_loss,precision,recall,f1,epoch,eval_f1,eval_f1_ARTEFACT,eval_f1_BIBL,eval_f1_CONCEPT,eval_f1_ORG,eval_f1_PEOPLE,eval_f1_PERSON,eval_f1_PLACE,eval_precision,eval_precision_ARTEFACT,eval_precision_BIBL,eval_precision_CONCEPT,eval_precision_ORG,eval_precision_PEOPLE,eval_precision_PERSON,eval_precision_PLACE,eval_recall,eval_recall_ARTEFACT,eval_recall_BIBL,eval_recall_CONCEPT,eval_recall_ORG,eval_recall_PEOPLE,eval_recall_PERSON,eval_recall_PLACE,eval_runtime,eval_samples_per_second,eval_steps_per_second
42,2026-02-26T10:37:51.232557,dbmdz/bert-base-german-cased,/content/drive/MyDrive/ner_tei/hf_bert_base_cased,1e-05,0.01,16,8,2,400,400,0.487517147,/content/drive/MyDrive/ner_tei/42/checkpoint-1600,1992,test,0.63784498,,,,8,0.4437033508019692,0.5076708507670852,0.1153846153846153,0.3569482288828337,0.3720930232558139,0.7699115044247786,0.4042553191489361,0.5824175824175823,0.512472487,0.5119549929676512,0.4390243902439024,0.4695340501792114,0.6666666666666666,0.7565217391304347,0.4789915966386555,0.5888888888888889,0.391206945,0.5034578146611342,0.066420664,0.2879120879120879,0.2580645161290322,0.7837837837837838,0.3496932515337423,0.5760869565217391,6.1685,293.265,18.481
42,2026-02-26T10:37:51.232557,dbmdz/bert-base-german-cased,/content/drive/MyDrive/ner_tei/hf_bert_base_cased,1e-05,0.01,16,8,2,400,400,0.487517147,/content/drive/MyDrive/ner_tei/42/checkpoint-1600,1992,validation,0.6926338076591492,,,,8,0.4860710854947166,0.5477419354838711,0.1983471074380165,0.3852813852813853,0.4333333333333333,0.6352941176470589,0.5714285714285714,0.7105263157894737,0.565633983,0.5803144224196856,0.6153846153846154,0.4810810810810811,0.6341463414634146,0.7714285714285715,0.64893617,0.7363636363636363,0.4261308950914341,0.5186316432498472,0.1182266009852216,0.3212996389891697,0.3291139240506329,0.54,0.5104602510460251,0.6864406779661016,4.7747,318.135,19.897
42,2026-02-26T10:52:54.389065,dbmdz/bert-base-german-cased,/content/drive/MyDrive/ner_tei/hf_bert_base_cased,2e-05,0.01,16,8,2,400,400,0.5322223668793126,/content/drive/MyDrive/ner_tei/42/checkpoint-1600,1992,test,0.6218276619911194,,,,8,0.4859123764567045,0.5544024104452628,0.2255639097744361,0.4026294165981923,0.4444444444444444,0.7704918032786884,0.445993031,0.6096256684491979,0.5134039900249376,0.5373134328358209,0.3515625,0.4583723105706268,0.5217391304347826,0.706766917,0.5161290322580645,0.6,0.461215346,0.5726141078838174,0.1660516605166051,0.358974359,0.3870967741935484,0.8468468468468469,0.3926380368098159,0.6195652173913043,6.0014,301.431,18.996
42,2026-02-26T10:52:54.389065,dbmdz/bert-base-german-cased,/content/drive/MyDrive/ner_tei/hf_bert_base_cased,2e-05,0.01,16,8,2,400,400,0.5322223668793126,/content/drive/MyDrive/ner_tei/42/checkpoint-1600,1992,validation,0.6892657279968262,,,,8,0.53203125,0.5828182941903585,0.2789115646258503,0.4510406004776527,0.5413533834586465,0.7052631578947369,0.5754060324825987,0.7354838709677418,0.5797389330306469,0.5897435897435898,0.4505494505494505,0.5208825847123719,0.6666666666666666,0.7444444444444445,0.6458333333333334,0.7467248908296943,0.4915784408084697,0.5760537568723274,0.2019704433497537,0.3977135980746089,0.4556962025316455,0.67,0.5188284518828452,0.7245762711864406,4.7133,322.278,20.156
42,2026-02-26T13:45:46.295153,dbmdz/bert-base-german-cased,/content/drive/MyDrive/ner_tei/hf_bert_base_cased,3e-05,0.01,16,8,2,400,400,0.5456412889973038,/content/drive/MyDrive/ner_tei/42/checkpoint-1600,1992,test,0.6443898677825928,,,,8,0.503415201,0.5749665327978581,0.2803738317757009,0.422738191,0.4210526315789473,0.7800829875518672,0.4583333333333333,0.5931758530183727,0.5232628398791541,0.5570687418936446,0.3821656050955414,0.4660194174757281,0.4615384615384615,0.7230769230769231,0.528,0.5736040609137056,0.4850182021842621,0.5940525587828492,0.2214022140221402,0.3868131868131868,0.3870967741935484,0.8468468468468469,0.4049079754601227,0.6141304347826086,5.8942,306.912,19.341
42,2026-02-26T13:45:46.295153,dbmdz/bert-base-german-cased,/content/drive/MyDrive/ner_tei/hf_bert_base_cased,3e-05,0.01,16,8,2,400,400,0.5456412889973038,/content/drive/MyDrive/ner_tei/42/checkpoint-1600,1992,validation,0.7043734788894653,,,,8,0.5460847240051349,0.5977791486736582,0.3016393442622951,0.4662698412698413,0.5588235294117647,0.7473684210526317,0.5901639344262296,0.7381974248927039,0.585305449,0.6037383177570094,0.4509803921568627,0.5176211453744494,0.6666666666666666,0.7888888888888889,0.6702127659574468,0.7478260869565218,0.5117901828681425,0.5919364691508857,0.2266009852216748,0.4241877256317689,0.4810126582278481,0.71,0.5271966527196653,0.7288135593220338,4.8691,311.966,19.511
43,2026-02-26T14:08:50.367393,dbmdz/bert-base-german-cased,/content/drive/MyDrive/ner_tei/hf_bert_base_cased,1e-05,0.01,16,8,2,400,400,0.4984818481848185,/content/drive/MyDrive/ner_tei/43/checkpoint-1600,1992,test,0.6273161768913269,,,,8,0.4594635550841037,0.5276653171390014,0.124223602,0.3812681309573145,0.35,0.7844827586206897,0.3759398496240601,0.585635359,0.5006605019815059,0.5151515151515151,0.392156863,0.4389312977099237,0.7777777777777778,0.7520661157024794,0.4854368932038835,0.5955056179775281,0.4245309437132455,0.5408022130013831,0.073800738,0.336996337,0.2258064516129032,0.8198198198198198,0.3067484662576687,0.5760869565217391,6.0151,300.741,18.952
43,2026-02-26T14:08:50.367393,dbmdz/bert-base-german-cased,/content/drive/MyDrive/ner_tei/hf_bert_base_cased,1e-05,0.01,16,8,2,400,400,0.4984818481848185,/content/drive/MyDrive/ner_tei/43/checkpoint-1600,1992,validation,0.6629024147987366,,,,8,0.4983502705556289,0.5562167240839336,0.2096774193548387,0.4141380460153384,0.3818181818181818,0.6586826347305389,0.5615763546798029,0.7180616740088106,0.551885414,0.570694087,0.5777777777777777,0.4644727000747943,0.6774193548387096,0.8208955223880597,0.6826347305389222,0.7477064220183486,0.4542829643888354,0.5424557116676848,0.1280788177339901,0.3736462093862815,0.2658227848101265,0.55,0.4769874476987448,0.690677966,4.9451,307.173,19.211
43,2026-02-26T14:39:24.183869,dbmdz/bert-base-german-cased,/content/drive/MyDrive/ner_tei/hf_bert_base_cased,2e-05,0.01,16,8,2,400,400,0.5277251484148036,/content/drive/MyDrive/ner_tei/43/checkpoint-1600,1992,test,0.6308000683784485,,,,8,0.488722885,0.5520974289580515,0.2376237623762375,0.4227272727272727,0.4137931034482758,0.7673469387755102,0.4397163120567376,0.5904255319148937,0.5017699115044247,0.5403973509933775,0.3609022556390977,0.4376470588235294,0.4444444444444444,0.7014925373134329,0.5210084033613446,0.578125,0.4763371604592551,0.5643153526970954,0.1771217712177121,0.4087912087912088,0.3870967741935484,0.8468468468468469,0.3803680981595092,0.6032608695652174,6.087,297.193,18.729
43,2026-02-26T14:39:24.183869,dbmdz/bert-base-german-cased,/content/drive/MyDrive/ner_tei/hf_bert_base_cased,2e-05,0.01,16,8,2,400,400,0.5277251484148036,/content/drive/MyDrive/ner_tei/43/checkpoint-1600,1992,validation,0.6621167063713074,,,,8,0.5283114256825076,0.579179811,0.2457337883959044,0.4583977729662852,0.5147058823529411,0.71657754,0.592074592,0.7155172413793104,0.5564430244941427,0.598825832,0.4,0.4716740929344367,0.6140350877192983,0.7701149425287356,0.6684210526315789,0.7280701754385965,0.5028873917228104,0.5607819181429444,0.1773399014778325,0.4458483754512635,0.4430379746835443,0.67,0.5313807531380753,0.7033898305084746,4.9561,306.491,19.168
